AREA GEOGRAFICA,MANZANAS
CAPITAL A.G. 1,6
CAPITAL A.G. 2,6
CAPITAL A.G. 3,6
 CAPITAL A.G. 4,6
 CAPITAL A.G. 5,6
 CAPITAL A.G. 6,5
 CAPITAL A.G. 7,3
 CAPITAL A.G. 8,6
 CAPITAL A.G. 9,6
 CAPITAL A.G. 10,5
 CAPITAL A.G. 11,7
 CAPITAL A.G. 12,5
 CAPITAL A.G. 13,6
 CAPITAL A.G. 14,4
 CAPITAL A.G. 15,3
 CAPITAL A.G. 16,4
 CAPITAL A.G. 17,5
 CAPITAL A.G. 18,4
 CAPITAL A.G. 19,4
 CAPITAL A.G. 20,5
 CAPITAL A.G. 21,4
 CAPITAL A.G. 22,4
 CAPITAL A.G. 23,5
 CAPITAL A.G. 24,5
 CAPITAL A.G. 25,6
 CAPITAL A.G. 26,3
 CAPITAL A.G. 27,4
 CAPITAL A.G. 28,5
 CAPITAL A.G. 29,7
 CAPITAL A.G. 30,7
 CAPITAL A.G. 31,4
 CAPITAL A.G. 32,7
 CAPITAL A.G. 33,5
 CAPITAL A.G. 34,6
 CAPITAL A.G. 35,6
 CAPITAL A.G. 36,7
 CAPITAL A.G. 37,7
 CAPITAL A.G. 38,4
 CAPITAL A.G. 39,4
 CAPITAL A.G. 40,7
 CAPITAL A.G. 41,10
 CAPITAL A.G. 42,5
 CAPITAL A.G. 43,4
 CAPITAL A.G. 44,2
 CAPITAL A.G. 45,3
 CAPITAL A.G. 46,6
 CAPITAL A.G. 47,6
 CAPITAL A.G. 48,6
 CAPITAL A.G. 49,7
 CAPITAL A.G. 50,6
 CAPITAL A.G. 51,5
 CAPITAL A.G. 52,6
 CAPITAL A.G. 53,5
 CAPITAL A.G. 54,4
 CAPITAL A.G. 55,3
 CAPITAL A.G. 56,1
 CAPITAL A.G. 57,7
 CAPITAL A.G. 58,4
 CAPITAL A.G. 59,3
 CAPITAL A.G. 60,3
 CAPITAL A.G. 61,8
 CAPITAL A.G. 62,5
 CAPITAL A.G. 63,3
 CAPITAL A.G. 64,3
 CAPITAL A.G. 65,2
 CAPITAL A.G. 66,5
 CAPITAL A.G. 67,10
 CAPITAL A.G. 68,6
 CAPITAL A.G. 69,1
 CAPITAL A.G. 70,2
 CAPITAL A.G. 71,1
 CAPITAL A.G. 72,1
 CAPITAL A.G. 73,6
 CAPITAL A.G. 74,6
 CAPITAL A.G. 75,6
 CAPITAL A.G. 76,6
 CAPITAL A.G. 77,6
 CAPITAL A.G. 78,7
 CAPITAL A.G. 79,7
 CAPITAL A.G. 80,7
 CAPITAL A.G. 81,7
 CAPITAL A.G. 82,7
 CAPITAL A.G. 83,4
 CAPITAL A.G. 84,6
 CAPITAL A.G. 85,6
 CAPITAL A.G. 86,6
 CAPITAL A.G. 87,6
 CAPITAL A.G. 88,6
 CAPITAL A.G. 89,6
 CAPITAL A.G. 90,2
 CAPITAL A.G. 91,5
 CAPITAL A.G. 92,6
 CAPITAL A.G. 93,6
 CAPITAL A.G. 94,6
 CAPITAL A.G. 95,6
 CAPITAL A.G. 96,6
 CAPITAL A.G. 97,3
 CAPITAL A.G. 98,8
 CAPITAL A.G. 99,7
 CAPITAL A.G. 100,6
 CAPITAL A.G. 101,6
 CAPITAL A.G. 102,9
 CAPITAL A.G. 103,6
 CAPITAL A.G. 104,4
 CAPITAL A.G. 105,2
 CAPITAL A.G. 106,4
 CAPITAL A.G. 107,7
 CAPITAL A.G. 108,8
 CAPITAL A.G. 109,5
 CAPITAL A.G. 110,5
 CAPITAL A.G. 111,7
 CAPITAL A.G. 112,7
 CAPITAL A.G. 113,6
 CAPITAL A.G. 114,3
 CAPITAL A.G. 115,5
 CAPITAL A.G. 116,6
 CAPITAL A.G. 117,4
 CAPITAL A.G. 118,2
 CAPITAL A.G. 119,4
 CAPITAL A.G. 120,9
 CAPITAL A.G. 121,5
 CAPITAL A.G. 122,8
 CAPITAL A.G. 123,6
 CAPITAL A.G. 124,5
 CAPITAL A.G. 125,10
 CAPITAL A.G. 126,7
 CAPITAL A.G. 127,5
 CAPITAL A.G. 128,5
 CAPITAL A.G. 129,4
 CAPITAL A.G. 130,6
 CAPITAL A.G. 131,5
 CAPITAL A.G. 132,4
 CAPITAL A.G. 133,3
 CAPITAL A.G. 134,10
 CAPITAL A.G. 135,4
 CAPITAL A.G. 136,5
 CAPITAL A.G. 137,4
 CAPITAL A.G. 138,2
 CAPITAL A.G. 139,4
 CAPITAL A.G. 140,3
 CAPITAL A.G. 141,2
 CAPITAL A.G. 142,3
 CAPITAL A.G. 143,2
 CAPITAL A.G. 144,4
 CAPITAL A.G. 145,2
 CAPITAL A.G. 146,3
 CAPITAL A.G. 147,3
 CAPITAL A.G. 148,3
 CAPITAL A.G. 149,3
 CAPITAL A.G. 150,3
 CAPITAL A.G. 151,3
 CAPITAL A.G. 152,4
 CAPITAL A.G. 153,1
 CAPITAL A.G. 154,4
 CAPITAL A.G. 155,5
 CAPITAL A.G. 156,5
 CAPITAL A.G. 157,5
 CAPITAL A.G. 158,5
 CAPITAL A.G. 159,8
 CAPITAL A.G. 160,8
 CAPITAL A.G. 161,4
 CAPITAL A.G. 162,4
 CAPITAL A.G. 163,4
 CAPITAL A.G. 164,3
 CAPITAL A.G. 165,3
 CAPITAL A.G. 166,2
 CAPITAL A.G. 167,2
 CAPITAL A.G. 168,3
 CAPITAL A.G. 169,3
 CAPITAL A.G. 170,3
 CAPITAL A.G. 171,2
 CAPITAL A.G. 172,7
 CAPITAL A.G. 173,5
 CAPITAL A.G. 174,5
 CAPITAL A.G. 175,3
 CAPITAL A.G. 176,3
 CAPITAL A.G. 177,4
 CAPITAL A.G. 178,2
 CAPITAL A.G. 179,7
 CAPITAL A.G. 180,6
 CAPITAL A.G. 181,6
 CAPITAL A.G. 182,4
 CAPITAL A.G. 183,1
 CAPITAL A.G. 184,2
 CAPITAL A.G. 185,4
 CAPITAL A.G. 186,4
 CAPITAL A.G. 187,5
 CAPITAL A.G. 188,2
 CAPITAL A.G. 189,5
 CAPITAL A.G. 190,5
 CAPITAL A.G. 191,4
 CAPITAL A.G. 192,4
 CAPITAL A.G. 193,3
 CAPITAL A.G. 194,4
 CAPITAL A.G. 195,1
 CAPITAL A.G. 196,1
 CAPITAL A.G. 197,5
 CAPITAL A.G. 198,5
 CAPITAL A.G. 199,1
 CAPITAL A.G. 200,4
 CAPITAL A.G. 201,5
 CAPITAL A.G. 202,5
 CAPITAL A.G. 203,3
 CAPITAL A.G. 204,5
 CAPITAL A.G. 205,5
 CAPITAL A.G. 206,7
 CAPITAL A.G. 207,4
 CAPITAL A.G. 208,6
 CAPITAL A.G. 209,1
 CAPITAL A.G. 210,4
