AREA GEOGRAFICA,MANZANAS
CHIMBAS A.G. 1,4
CHIMBAS A.G. 2,4
CHIMBAS A.G. 3,5
CHIMBAS A.G. 4,4
CHIMBAS A.G. 5,4
CHIMBAS A.G. 6,3
CHIMBAS A.G. 7,3
CHIMBAS A.G. 8,3
CHIMBAS A.G. 9,3
CHIMBAS A.G. 10,1
CHIMBAS A.G. 11,2
CHIMBAS A.G. 12,3
CHIMBAS A.G. 13,2
CHIMBAS A.G. 14,5
CHIMBAS A.G. 15,1
CHIMBAS A.G. 16,4
CHIMBAS A.G. 17,2
CHIMBAS A.G. 18,1
CHIMBAS A.G. 19,3
CHIMBAS A.G. 20,4
CHIMBAS A.G. 21,4
CHIMBAS A.G. 22,1
CHIMBAS A.G. 23,1
CHIMBAS A.G. 24,1
CHIMBAS A.G. 25,6
CHIMBAS A.G. 26,4
CHIMBAS A.G. 27,4
CHIMBAS A.G. 28,2
CHIMBAS A.G. 29,3
CHIMBAS A.G. 30,2
CHIMBAS A.G. 31,2
CHIMBAS A.G. 32,3
CHIMBAS A.G. 33,3
CHIMBAS A.G. 34,3
CHIMBAS A.G. 35,3
CHIMBAS A.G. 36,1
CHIMBAS A.G. 37,3
CHIMBAS A.G. 38,2
CHIMBAS A.G. 39,4
CHIMBAS A.G. 40,4
CHIMBAS A.G. 41,1
CHIMBAS A.G. 42,1
CHIMBAS A.G. 43,3
CHIMBAS A.G. 44,2
CHIMBAS A.G. 45,3
CHIMBAS A.G. 46,2
CHIMBAS A.G. 47,2
CHIMBAS A.G. 48,2
CHIMBAS A.G. 49,1
CHIMBAS A.G. 50,5
CHIMBAS A.G. 51,1
CHIMBAS A.G. 52,1
CHIMBAS A.G. 53,4
CHIMBAS A.G. 54,3
CHIMBAS A.G. 55,6
CHIMBAS A.G. 56,1
CHIMBAS A.G. 57,1
CHIMBAS A.G. 58,4
CHIMBAS A.G. 59,4
CHIMBAS A.G. 60,4
CHIMBAS A.G. 61,2
CHIMBAS A.G. 62,4
CHIMBAS A.G. 63,1
CHIMBAS A.G. 64,5
CHIMBAS A.G. 65,3
CHIMBAS A.G. 66,2
CHIMBAS A.G. 67,1
CHIMBAS A.G. 68,6
CHIMBAS A.G. 69,6
CHIMBAS A.G. 70,6
CHIMBAS A.G. 71,4
CHIMBAS A.G. 72,4
CHIMBAS A.G. 73,3
CHIMBAS A.G. 74,10
CHIMBAS A.G. 75,9
CHIMBAS A.G. 76,5
CHIMBAS A.G. 77,1
CHIMBAS A.G. 78,5
CHIMBAS A.G. 79,7
CHIMBAS A.G. 80,2
CHIMBAS A.G. 81,13
CHIMBAS A.G. 82,29
CHIMBAS A.G. 83,14
CHIMBAS A.G. 84,17
CHIMBAS A.G. 85,13
CHIMBAS A.G. 86,3
CHIMBAS A.G. 87,7
CHIMBAS A.G. 88,13
CHIMBAS A.G. 89,9
CHIMBAS A.G. 90,5
CHIMBAS A.G. 91,8
CHIMBAS A.G. 92,5
CHIMBAS A.G. 93,23
CHIMBAS A.G. 94,14
CHIMBAS A.G. 95,13
CHIMBAS A.G. 96,6
CHIMBAS A.G. 97,16
CHIMBAS A.G. 98,5
CHIMBAS A.G. 99,1
CHIMBAS A.G. 100,13
CHIMBAS A.G. 101,19
CHIMBAS A.G. 102,4
CHIMBAS A.G. 103,8
CHIMBAS A.G. 104,7
CHIMBAS A.G. 105,4
CHIMBAS A.G. 106,11
CHIMBAS A.G. 107,3
CHIMBAS A.G. 108,7
CHIMBAS A.G. 109,13
CHIMBAS A.G. 110,8
CHIMBAS A.G. 111,3
CHIMBAS A.G. 112,1
CHIMBAS A.G. 113,1
CHIMBAS A.G. 114,4
CHIMBAS A.G. 115,2
CHIMBAS A.G. 116,7
CHIMBAS A.G. 117,15
CHIMBAS A.G. 118,7
CHIMBAS A.G. 119,1
CHIMBAS A.G. 120,1
CHIMBAS A.G. 121,2
CHIMBAS A.G. 122,10
CHIMBAS A.G. 123,1
CHIMBAS A.G. 124,8
CHIMBAS A.G. 125,5
CHIMBAS A.G. 126,5
CHIMBAS A.G. 127,7
CHIMBAS A.G. 128,4
CHIMBAS A.G. 129,3
CHIMBAS A.G. 130,9
CHIMBAS A.G. 131,8
CHIMBAS A.G. 132,9
CHIMBAS A.G. 133,2
CHIMBAS A.G. 134,8
CHIMBAS A.G. 135,4
CHIMBAS A.G. 136,12
CHIMBAS A.G. 137,12
CHIMBAS A.G. 138,5
CHIMBAS A.G. 139,9
CHIMBAS A.G. 140,6
CHIMBAS A.G. 141,6
CHIMBAS A.G. 142,8
