AREA GEOGRAFICA,MANZANAS
SANTA LUCIA A.G. 1,3
SANTA LUCIA A.G. 2,12
SANTA LUCIA A.G. 3,11
SANTA LUCIA A.G. 4,5
SANTA LUCIA A.G. 5,4
SANTA LUCIA A.G. 6,5
SANTA LUCIA A.G. 7,5
SANTA LUCIA A.G. 8,6
SANTA LUCIA A.G. 9,7
SANTA LUCIA A.G. 10,1
SANTA LUCIA A.G. 11,9
SANTA LUCIA A.G. 12,4
SANTA LUCIA A.G. 13,9
SANTA LUCIA A.G. 14,9
SANTA LUCIA A.G. 15,3
SANTA LUCIA A.G. 16,4
SANTA LUCIA A.G. 17,8
SANTA LUCIA A.G. 18,5
SANTA LUCIA A.G. 19,2
SANTA LUCIA A.G. 20,1
SANTA LUCIA A.G. 21,6
SANTA LUCIA A.G. 22,3
SANTA LUCIA A.G. 23,3
SANTA LUCIA A.G. 24,2
SANTA LUCIA A.G. 25,7
SANTA LUCIA A.G. 26,2
SANTA LUCIA A.G. 27,4
SANTA LUCIA A.G. 28,1
SANTA LUCIA A.G. 29,5
SANTA LUCIA A.G. 30,8
SANTA LUCIA A.G. 31,1
SANTA LUCIA A.G. 32,6
SANTA LUCIA A.G. 33,6
SANTA LUCIA A.G. 34,5
SANTA LUCIA A.G. 35,5
SANTA LUCIA A.G. 36,10
SANTA LUCIA A.G. 37,3
SANTA LUCIA A.G. 38,4
SANTA LUCIA A.G. 39,4
SANTA LUCIA A.G. 40,1
SANTA LUCIA A.G. 41,2
SANTA LUCIA A.G. 42,6
SANTA LUCIA A.G. 43,4
SANTA LUCIA A.G. 44,3
SANTA LUCIA A.G. 45,5
SANTA LUCIA A.G. 46,3
SANTA LUCIA A.G. 47,1
SANTA LUCIA A.G. 48,2
SANTA LUCIA A.G. 49,2
SANTA LUCIA A.G. 50,6
SANTA LUCIA A.G. 51,1
SANTA LUCIA A.G. 52,2
SANTA LUCIA A.G. 53,6
SANTA LUCIA A.G. 54,2
SANTA LUCIA A.G. 55,11
SANTA LUCIA A.G. 56,4
SANTA LUCIA A.G. 57,16
SANTA LUCIA A.G. 58,3
SANTA LUCIA A.G. 59,3
